Carbon disulfide,Ethyl Acetate,"1-Propanol, 2-methyl-","1-Butanol, 3-methyl-, acetate","1-Butanol, 3-methyl-","Oxirane, 2-(1,1-dimethylethyl)-3-methyl- ",D-Limonene,"Hexanoic acid, ethyl ester",Styrene,"Propanoic acid, 2-hydroxy-, ethylester",Acetic acid,"Octanoic acid, ethyl ester",Isopentyl hexanoate,Ethyl dl-2-hydroxycaproate,"Nonanoic acid, ethyl ester",n-Caprylic acid isobutyl ester,"Decanoic acid, methyl ester",Ethyl tridecanoate,"Decanoic acid, ethyl ester","Octanoic acid, 3-methylbutyl ester",Ethyl 9-decenoate,"Decanoic acid, propyl ester","Cyclooctane, 1,4-dimethyl-, cis-",Cyclodecane,Citronellol                    ,n-Capric acid isobutyl ester       ,"Acetic acid, 2-phenylethyl ester","Dodecanoic acid, ethyl ester","Benzenepropanoic acid, ethyl ester",Phenylethyl Alcohol,"2,2,4-Trimethyl-1,3-pentanediol di isobutyrate",diethyl 2-hydroxy-3-(tetrahydrofuran-2-yl)succinate,"10-Undecenoic acid, ethyl ester",Octanoic acid,"Hexadecanoic acid, ethyl ester ","Tetradecanoic acid, ethyl ester    ","Pentadecanoic acid, ethyl ester ","Pentadecanoic acid, ethyl ester / Tetradecanoic acid, ethyl ester","Hexadecanoic acid, ethyl ester / Pentadecanoic acid, ethyl ester",Ethyl 9-tetradecenoate  ,(Z)-Ethyl heptadec-9-enoate        ,(E)-9-Octadecenoic acid ethyl ester,"E-11-Hexadecenoic acid, ethyl ester",Ethyl Oleate                      ,n-Decanoic acid,"Heptadecanoic acid, ethyl ester    ","Octadecanoic acid, ethyl ester / Heptadecanoic acid, ethyl ester",Ethyl 9-hexadecenoate              ,"9,12-Octadecadienoic acid (Z,Z)-   ",Linoelaidic acid                   ,"Octanoic acid, 2-phenylethyl ester ",Dodecanoic acid,"Cyclopentadecanone, 2-hydroxy-     "
0.00,839842597.30,117765656.00,255645911.00,1038620363.00,0.00,0.00,1394952783.00,3153033482.00,442632640.70,508195608.30,13670457191.00,143072963.70,0.00,140348040.30,226108387.00,0.00,0.00,19827850983.00,941191200.70,6112287120.00,0.00,0.00,0.00,0.00,165898293.30,355545812.00,5162148711.00,0.00,4125403520.00,0.00,0.00,0.00,964860290.30,352248552.00,355483455.50,0.00,0.00,0.00,263334196.00,0.00,392598039.50,362736895.00,0.00,2013902763.00,0.00,425588172.00,2222735296.00,0.00,0.00,106950479.00,159017598.30,197990944.00
217596433.00,3343342529.00,0.00,214999429.70,321699668.00,0.00,303349787.50,775524288.00,3797516874.00,392084201.70,571732664.30,8325511896.00,0.00,0.00,231224063.30,0.00,0.00,10611119549.00,12664510814.00,406907647.30,5154339074.00,0.00,0.00,0.00,0.00,129491739.00,367905451.70,2835219283.00,421509796.70,1857165928.00,0.00,0.00,0.00,617830490.30,0.00,0.00,0.00,270944719.00,0.00,108230455.00,130867783.50,278961876.00,0.00,0.00,718559125.00,0.00,202697774.70,1625596158.00,0.00,0.00,0.00,0.00,0.00
0.00,1727226875.00,0.00,0.00,290944522.30,0.00,191545425.50,1409898370.00,0.00,358222773.30,355715900.30,9447032565.00,0.00,0.00,0.00,0.00,0.00,0.00,14686295503.00,425048287.30,5709095534.00,0.00,0.00,0.00,0.00,0.00,147910362.70,2881600858.00,486773936.00,1289285026.00,0.00,0.00,0.00,461556782.00,0.00,0.00,243764318.70,0.00,0.00,160908689.00,0.00,309484184.00,292559384.00,0.00,858836933.70,0.00,270299726.70,2160469507.00,0.00,0.00,0.00,0.00,0.00
0.00,722699454.30,0.00,110406848.30,241315630.00,0.00,205779656.00,991393934.00,3127026722.00,218901361.00,539927372.70,10923001165.00,0.00,0.00,249663343.00,118344064.00,109262530.70,0.00,13745086199.00,431769977.70,5865636236.00,0.00,0.00,0.00,0.00,0.00,309256797.00,2841459763.00,319835127.70,1816147793.00,0.00,0.00,0.00,944193697.70,0.00,224797138.50,279656209.00,0.00,0.00,0.00,0.00,375004563.00,0.00,340576529.00,1725004613.00,242851355.00,0.00,2008679504.00,0.00,0.00,0.00,0.00,0.00
0.00,1932245613.00,0.00,0.00,293030603.00,0.00,130149226.00,676463784.00,827621490.50,519985939.00,401203053.50,8892222259.00,0.00,0.00,114628809.50,0.00,0.00,15371760370.00,0.00,383033785.50,4652889223.00,0.00,107999101.00,0.00,0.00,0.00,213216509.00,4782731482.00,0.00,1638709774.00,0.00,670437146.50,0.00,459792306.00,0.00,0.00,0.00,0.00,317408810.50,135611821.00,0.00,0.00,0.00,0.00,908967033.50,277424780.50,0.00,1590142276.00,0.00,0.00,0.00,108427207.50,0.00
0.00,1974371068.00,0.00,115131417.00,423751193.70,0.00,234025811.00,615852119.50,1203436468.00,217023444.00,322100425.70,9699399911.00,0.00,141399208.70,112302266.30,0.00,0.00,15644815954.00,0.00,717568307.00,5997107568.00,0.00,0.00,0.00,0.00,0.00,253104792.70,5122227482.00,0.00,2094280126.00,0.00,0.00,374329400.00,527907940.00,0.00,0.00,0.00,328225810.30,0.00,0.00,0.00,0.00,0.00,0.00,885195182.30,185969821.00,0.00,1662081416.00,0.00,0.00,0.00,0.00,0.00
0.00,2662538226.00,0.00,126897138.30,282844298.00,299686807.00,0.00,384805810.30,956473500.70,389989945.30,662681947.30,6030248974.00,0.00,0.00,0.00,0.00,0.00,12949845488.00,0.00,0.00,2970459005.00,0.00,0.00,0.00,0.00,0.00,152867467.30,3425101289.00,301888016.50,1081895974.00,309218980.00,0.00,0.00,397817999.00,0.00,215898749.00,0.00,0.00,213428622.00,0.00,0.00,159880148.70,0.00,0.00,805664084.00,172932858.30,0.00,1187332448.00,0.00,0.00,0.00,0.00,0.00
0.00,2675253398.00,0.00,136835297.30,438302454.30,0.00,125233099.30,862797742.00,1745902479.00,694017080.70,515799596.00,9359966746.00,0.00,0.00,197660571.00,0.00,0.00,14376607794.00,0.00,431409333.00,4047103663.00,125802296.30,0.00,0.00,124411082.00,121421293.30,150818703.30,5152552847.00,434940313.00,1136947003.00,0.00,0.00,0.00,620598668.00,0.00,0.00,0.00,363812291.00,0.00,443837320.00,190146495.50,338806511.00,0.00,0.00,1507848672.00,336115128.00,0.00,1775385195.00,0.00,0.00,0.00,194068394.00,0.00
184952116.50,709405220.30,0.00,105758600.00,667504144.00,0.00,0.00,1755637921.00,1882221682.00,553711479.70,325403329.00,13264067188.00,0.00,0.00,138246750.30,139698773.30,0.00,0.00,0.00,689291832.30,7743411049.00,117063827.30,0.00,102279939.00,0.00,158864579.00,172798932.00,5186726043.00,380075964.00,1865305129.00,0.00,0.00,0.00,958126848.00,0.00,0.00,457268752.70,0.00,0.00,135401071.00,0.00,568992934.50,182589419.00,0.00,1474106423.00,326734693.00,0.00,2562315880.00,117585490.00,0.00,0.00,167214591.00,0.00
0.00,612320551.30,0.00,0.00,537973096.00,0.00,0.00,1663204174.00,941369353.00,555185338.30,500814788.50,9685664947.00,0.00,0.00,178919138.30,0.00,0.00,0.00,14568577574.00,554584180.00,6381770101.00,0.00,0.00,0.00,0.00,0.00,104902929.70,3681153000.00,469477918.00,1885981223.00,0.00,0.00,0.00,453237493.50,0.00,0.00,0.00,267334117.00,0.00,136389840.70,0.00,526144532.50,0.00,368551474.00,576975577.00,227628268.70,0.00,2583295165.00,0.00,156791218.00,0.00,101438729.00,0.00
